doc_id,unit_id,temporal_index,content,modality
lecture_3,U3,3,Explanation of feature scaling and normalization,text
lecture_3,U4,4,Training data table with input-output pairs,table
lecture_3,U5,5,Diagram showing regression line fitting data points,diagram
lecture_3,U6,6,Evaluation metrics table including precision recall and F1,table
lecture_3,U7,7,σ(x) = 1 / (1 + e^-x),equation
lecture_3,U8,8,Hyperparameter tuning results table,table
lecture_3,U9,9,y = wx + b,equation
lecture_3,U10,10,Dataset statistics table showing samples and features,table
lecture_3,U11,11,Dataset statistics table showing samples and features,table
lecture_3,U12,12,σ(x) = 1 / (1 + e^-x),equation
lecture_3,U13,13,Comparison table of algorithm performance metrics,table
lecture_3,U14,14,Neural network architecture diagram,diagram
lecture_3,U15,15,Flowchart of machine learning pipeline,diagram
lecture_3,U16,16,Introduction to linear regression and supervised learning,text
lecture_3,U17,17,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_3,U18,18,Explanation of feature scaling and normalization,text
lecture_3,U19,19,Evaluation metrics table including precision recall and F1,table
lecture_3,U20,20,Comparison table of algorithm performance metrics,table
lecture_4,U1,1,Overview of neural networks and activation functions,text
lecture_4,U2,2,Comparison table of algorithm performance metrics,table
lecture_4,U3,3,Dataset statistics table showing samples and features,table
lecture_4,U4,4,Comparison table of algorithm performance metrics,table
lecture_4,U5,5,Neural network architecture diagram,diagram
lecture_4,U6,6,Dataset statistics table showing samples and features,table
lecture_4,U7,7,L = (1/n) Σ (y - ŷ)^2,equation
lecture_4,U8,8,Graphical illustration of gradient descent,diagram
lecture_4,U9,9,∂L/∂w = (ŷ - y)x,equation
lecture_4,U10,10,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_4,U11,11,Neural network architecture diagram,diagram
lecture_4,U12,12,Graphical illustration of gradient descent,diagram
lecture_4,U13,13,Discussion of overfitting and model generalization,text
lecture_4,U14,14,Visualization of decision boundary,diagram
lecture_4,U15,15,Explanation of feature scaling and normalization,text
lecture_4,U16,16,Hyperparameter tuning results table,table
lecture_4,U17,17,Evaluation metrics table including precision recall and F1,table
lecture_4,U18,18,Overview of neural networks and activation functions,text
lecture_4,U19,19,L = (1/n) Σ (y - ŷ)^2,equation
lecture_4,U20,20,Flowchart of machine learning pipeline,diagram
lecture_5,U1,1,Comparison table of algorithm performance metrics,table
lecture_5,U2,2,Explanation of feature scaling and normalization,text
lecture_5,U3,3,Training data table with input-output pairs,table
lecture_5,U4,4,L = (1/n) Σ (y - ŷ)^2,equation
lecture_5,U5,5,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_5,U6,6,Overview of neural networks and activation functions,text
lecture_5,U7,7,Training data table with input-output pairs,table
lecture_5,U8,8,Dataset statistics table showing samples and features,table
lecture_5,U9,9,Overview of neural networks and activation functions,text
lecture_5,U10,10,Visualization of decision boundary,diagram
lecture_5,U11,11,Flowchart of machine learning pipeline,diagram
lecture_5,U12,12,Graphical illustration of gradient descent,diagram
lecture_5,U13,13,L = (1/n) Σ (y - ŷ)^2,equation
lecture_5,U14,14,Hyperparameter tuning results table,table
lecture_5,U15,15,σ(x) = 1 / (1 + e^-x),equation
lecture_5,U16,16,L = (1/n) Σ (y - ŷ)^2,equation
lecture_5,U17,17,Neural network architecture diagram,diagram
lecture_5,U18,18,Neural network architecture diagram,diagram
lecture_5,U19,19,Visualization of decision boundary,diagram
lecture_5,U20,20,Discussion of overfitting and model generalization,text
lecture_6,U1,1,Diagram showing regression line fitting data points,diagram
lecture_6,U2,2,σ(x) = 1 / (1 + e^-x),equation
lecture_6,U3,3,Dataset statistics table showing samples and features,table
lecture_6,U4,4,L = (1/n) Σ (y - ŷ)^2,equation
lecture_6,U5,5,Training data table with input-output pairs,table
lecture_6,U6,6,Visualization of decision boundary,diagram
lecture_6,U7,7,Training data table with input-output pairs,table
lecture_6,U8,8,L = (1/n) Σ (y - ŷ)^2,equation
lecture_6,U9,9,Training data table with input-output pairs,table
lecture_6,U10,10,Evaluation metrics table including precision recall and F1,table
lecture_6,U11,11,y = wx + b,equation
lecture_6,U12,12,Comparison table of algorithm performance metrics,table
lecture_6,U13,13,Explanation of feature scaling and normalization,text
lecture_6,U14,14,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_6,U15,15,L = (1/n) Σ (y - ŷ)^2,equation
lecture_6,U16,16,Hyperparameter tuning results table,table
lecture_6,U17,17,Flowchart of machine learning pipeline,diagram
lecture_6,U18,18,Hyperparameter tuning results table,table
lecture_6,U19,19,Evaluation metrics table including precision recall and F1,table
lecture_6,U20,20,Visualization of decision boundary,diagram
lecture_7,U1,1,L = (1/n) Σ (y - ŷ)^2,equation
lecture_7,U2,2,Graphical illustration of gradient descent,diagram
lecture_7,U3,3,Visualization of decision boundary,diagram
lecture_7,U4,4,σ(x) = 1 / (1 + e^-x),equation
lecture_7,U5,5,Explanation of feature scaling and normalization,text
lecture_7,U6,6,σ(x) = 1 / (1 + e^-x),equation
lecture_7,U7,7,Explanation of feature scaling and normalization,text
lecture_7,U8,8,Diagram showing regression line fitting data points,diagram
lecture_7,U9,9,Diagram showing regression line fitting data points,diagram
lecture_7,U10,10,Explanation of feature scaling and normalization,text
lecture_7,U11,11,Hyperparameter tuning results table,table
lecture_7,U12,12,σ(x) = 1 / (1 + e^-x),equation
lecture_7,U13,13,L = (1/n) Σ (y - ŷ)^2,equation
lecture_7,U14,14,Graphical illustration of gradient descent,diagram
lecture_7,U15,15,Evaluation metrics table including precision recall and F1,table
lecture_7,U16,16,L = (1/n) Σ (y - ŷ)^2,equation
lecture_7,U17,17,∂L/∂w = (ŷ - y)x,equation
lecture_7,U18,18,Dataset statistics table showing samples and features,table
lecture_7,U19,19,Diagram showing regression line fitting data points,diagram
lecture_7,U20,20,∂L/∂w = (ŷ - y)x,equation
lecture_8,U1,1,Explanation of gradient descent optimization,text
lecture_8,U2,2,Hyperparameter tuning results table,table
lecture_8,U3,3,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_8,U4,4,Discussion of overfitting and model generalization,text
lecture_8,U5,5,Neural network architecture diagram,diagram
lecture_8,U6,6,Graphical illustration of gradient descent,diagram
lecture_8,U7,7,Overview of neural networks and activation functions,text
lecture_8,U8,8,Diagram showing regression line fitting data points,diagram
lecture_8,U9,9,Overview of neural networks and activation functions,text
lecture_8,U10,10,Graphical illustration of gradient descent,diagram
lecture_8,U11,11,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_8,U12,12,Discussion of overfitting and model generalization,text
lecture_8,U13,13,Overview of neural networks and activation functions,text
lecture_8,U14,14,Explanation of feature scaling and normalization,text
lecture_8,U15,15,Neural network architecture diagram,diagram
lecture_8,U16,16,Explanation of feature scaling and normalization,text
lecture_8,U17,17,Neural network architecture diagram,diagram
lecture_8,U18,18,Overview of neural networks and activation functions,text
lecture_8,U19,19,Dataset statistics table showing samples and features,table
lecture_8,U20,20,Explanation of feature scaling and normalization,text
lecture_9,U1,1,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_9,U2,2,Flowchart of machine learning pipeline,diagram
lecture_9,U3,3,y = wx + b,equation
lecture_9,U4,4,Evaluation metrics table including precision recall and F1,table
lecture_9,U5,5,∂L/∂w = (ŷ - y)x,equation
lecture_9,U6,6,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_9,U7,7,∂L/∂w = (ŷ - y)x,equation
lecture_9,U8,8,Overview of neural networks and activation functions,text
lecture_9,U9,9,Discussion of overfitting and model generalization,text
lecture_9,U10,10,Explanation of gradient descent optimization,text
lecture_9,U11,11,∂L/∂w = (ŷ - y)x,equation
lecture_9,U12,12,Explanation of gradient descent optimization,text
lecture_9,U13,13,Discussion of overfitting and model generalization,text
lecture_9,U14,14,Dataset statistics table showing samples and features,table
lecture_9,U15,15,Visualization of decision boundary,diagram
lecture_9,U16,16,Diagram showing regression line fitting data points,diagram
lecture_9,U17,17,∂L/∂w = (ŷ - y)x,equation
lecture_9,U18,18,Comparison table of algorithm performance metrics,table
lecture_9,U19,19,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_9,U20,20,Evaluation metrics table including precision recall and F1,table
lecture_10,U1,1,σ(x) = 1 / (1 + e^-x),equation
lecture_10,U2,2,Explanation of gradient descent optimization,text
lecture_10,U3,3,Flowchart of machine learning pipeline,diagram
lecture_10,U4,4,Introduction to linear regression and supervised learning,text
lecture_10,U5,5,Flowchart of machine learning pipeline,diagram
lecture_10,U6,6,Training data table with input-output pairs,table
lecture_10,U7,7,Evaluation metrics table including precision recall and F1,table
lecture_10,U8,8,Flowchart of machine learning pipeline,diagram
lecture_10,U9,9,Explanation of gradient descent optimization,text
lecture_10,U10,10,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_10,U11,11,Visualization of decision boundary,diagram
lecture_10,U12,12,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_10,U13,13,∂L/∂w = (ŷ - y)x,equation
lecture_10,U14,14,Introduction to linear regression and supervised learning,text
lecture_10,U15,15,Discussion of overfitting and model generalization,text
lecture_10,U16,16,Explanation of gradient descent optimization,text
lecture_10,U17,17,Explanation of feature scaling and normalization,text
lecture_10,U18,18,Dataset statistics table showing samples and features,table
lecture_10,U19,19,Dataset statistics table showing samples and features,table
lecture_10,U20,20,∂L/∂w = (ŷ - y)x,equation
lecture_11,U1,1,Neural network architecture diagram,diagram
lecture_11,U2,2,Overview of neural networks and activation functions,text
lecture_11,U3,3,L = (1/n) Σ (y - ŷ)^2,equation
lecture_11,U4,4,σ(x) = 1 / (1 + e^-x),equation
lecture_11,U5,5,Introduction to linear regression and supervised learning,text
lecture_11,U6,6,Evaluation metrics table including precision recall and F1,table
lecture_11,U7,7,L = (1/n) Σ (y - ŷ)^2,equation
lecture_11,U8,8,y = wx + b,equation
lecture_11,U9,9,L = (1/n) Σ (y - ŷ)^2,equation
lecture_11,U10,10,Explanation of feature scaling and normalization,text
lecture_11,U11,11,Discussion of overfitting and model generalization,text
lecture_11,U12,12,Visualization of decision boundary,diagram
lecture_11,U13,13,Diagram showing regression line fitting data points,diagram
lecture_11,U14,14,Evaluation metrics table including precision recall and F1,table
lecture_11,U15,15,Overview of neural networks and activation functions,text
lecture_11,U16,16,L = (1/n) Σ (y - ŷ)^2,equation
lecture_11,U17,17,Graphical illustration of gradient descent,diagram
lecture_11,U18,18,Dataset statistics table showing samples and features,table
lecture_11,U19,19,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_11,U20,20,Diagram showing regression line fitting data points,diagram
lecture_12,U1,1,Comparison table of algorithm performance metrics,table
lecture_12,U2,2,Diagram showing regression line fitting data points,diagram
lecture_12,U3,3,y = wx + b,equation
lecture_12,U4,4,Dataset statistics table showing samples and features,table
lecture_12,U5,5,Diagram showing regression line fitting data points,diagram
lecture_12,U6,6,Evaluation metrics table including precision recall and F1,table
lecture_12,U7,7,y = wx + b,equation
lecture_12,U8,8,Diagram showing regression line fitting data points,diagram
lecture_12,U9,9,σ(x) = 1 / (1 + e^-x),equation
lecture_12,U10,10,Explanation of feature scaling and normalization,text
lecture_12,U11,11,Dataset statistics table showing samples and features,table
lecture_12,U12,12,y = wx + b,equation
lecture_12,U13,13,Visualization of decision boundary,diagram
lecture_12,U14,14,∂L/∂w = (ŷ - y)x,equation
lecture_12,U15,15,y = wx + b,equation
lecture_12,U16,16,∂L/∂w = (ŷ - y)x,equation
lecture_12,U17,17,Discussion of overfitting and model generalization,text
lecture_12,U18,18,Hyperparameter tuning results table,table
lecture_12,U19,19,∂L/∂w = (ŷ - y)x,equation
lecture_12,U20,20,Comparison table of algorithm performance metrics,table
lecture_13,U1,1,L = (1/n) Σ (y - ŷ)^2,equation
lecture_13,U2,2,Dataset statistics table showing samples and features,table
lecture_13,U3,3,Graphical illustration of gradient descent,diagram
lecture_13,U4,4,Explanation of feature scaling and normalization,text
lecture_13,U5,5,σ(x) = 1 / (1 + e^-x),equation
lecture_13,U6,6,Graphical illustration of gradient descent,diagram
lecture_13,U7,7,Graphical illustration of gradient descent,diagram
lecture_13,U8,8,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_13,U9,9,Flowchart of machine learning pipeline,diagram
lecture_13,U10,10,Explanation of feature scaling and normalization,text
lecture_13,U11,11,Explanation of gradient descent optimization,text
lecture_13,U12,12,y = wx + b,equation
lecture_13,U13,13,Evaluation metrics table including precision recall and F1,table
lecture_13,U14,14,Explanation of gradient descent optimization,text
lecture_13,U15,15,Discussion of overfitting and model generalization,text
lecture_13,U16,16,Explanation of gradient descent optimization,text
lecture_13,U17,17,Comparison table of algorithm performance metrics,table
lecture_13,U18,18,Visualization of decision boundary,diagram
lecture_13,U19,19,Discussion of overfitting and model generalization,text
lecture_13,U20,20,L = (1/n) Σ (y - ŷ)^2,equation
lecture_14,U1,1,Introduction to linear regression and supervised learning,text
lecture_14,U2,2,y = wx + b,equation
lecture_14,U3,3,Graphical illustration of gradient descent,diagram
lecture_14,U4,4,Explanation of gradient descent optimization,text
lecture_14,U5,5,y = wx + b,equation
lecture_14,U6,6,Visualization of decision boundary,diagram
lecture_14,U7,7,Dataset statistics table showing samples and features,table
lecture_14,U8,8,Discussion of overfitting and model generalization,text
lecture_14,U9,9,Evaluation metrics table including precision recall and F1,table
lecture_14,U10,10,Overview of neural networks and activation functions,text
lecture_14,U11,11,Training data table with input-output pairs,table
lecture_14,U12,12,Overview of neural networks and activation functions,text
lecture_14,U13,13,Training data table with input-output pairs,table
lecture_14,U14,14,Overview of neural networks and activation functions,text
lecture_14,U15,15,Overview of neural networks and activation functions,text
lecture_14,U16,16,Explanation of feature scaling and normalization,text
lecture_14,U17,17,Hyperparameter tuning results table,table
lecture_14,U18,18,∂L/∂w = (ŷ - y)x,equation
lecture_14,U19,19,Hyperparameter tuning results table,table
lecture_14,U20,20,L = (1/n) Σ (y - ŷ)^2,equation
lecture_15,U1,1,Neural network architecture diagram,diagram
lecture_15,U2,2,Diagram showing regression line fitting data points,diagram
lecture_15,U3,3,Explanation of feature scaling and normalization,text
lecture_15,U4,4,Diagram showing regression line fitting data points,diagram
lecture_15,U5,5,Visualization of decision boundary,diagram
lecture_15,U6,6,Explanation of gradient descent optimization,text
lecture_15,U7,7,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_15,U8,8,Evaluation metrics table including precision recall and F1,table
lecture_15,U9,9,σ(x) = 1 / (1 + e^-x),equation
lecture_15,U10,10,σ(x) = 1 / (1 + e^-x),equation
lecture_15,U11,11,Neural network architecture diagram,diagram
lecture_15,U12,12,Introduction to linear regression and supervised learning,text
lecture_15,U13,13,Dataset statistics table showing samples and features,table
lecture_15,U14,14,σ(x) = 1 / (1 + e^-x),equation
lecture_15,U15,15,Diagram showing regression line fitting data points,diagram
lecture_15,U16,16,Graphical illustration of gradient descent,diagram
lecture_15,U17,17,Explanation of gradient descent optimization,text
lecture_15,U18,18,Graphical illustration of gradient descent,diagram
lecture_15,U19,19,Graphical illustration of gradient descent,diagram
lecture_15,U20,20,Graphical illustration of gradient descent,diagram
lecture_16,U1,1,Explanation of gradient descent optimization,text
lecture_16,U2,2,Neural network architecture diagram,diagram
lecture_16,U3,3,Overview of neural networks and activation functions,text
lecture_16,U4,4,Visualization of decision boundary,diagram
lecture_16,U5,5,Dataset statistics table showing samples and features,table
lecture_16,U6,6,Neural network architecture diagram,diagram
lecture_16,U7,7,σ(x) = 1 / (1 + e^-x),equation
lecture_16,U8,8,Overview of neural networks and activation functions,text
lecture_16,U9,9,Graphical illustration of gradient descent,diagram
lecture_16,U10,10,Hyperparameter tuning results table,table
lecture_16,U11,11,Dataset statistics table showing samples and features,table
lecture_16,U12,12,Introduction to linear regression and supervised learning,text
lecture_16,U13,13,Overview of neural networks and activation functions,text
lecture_16,U14,14,Dataset statistics table showing samples and features,table
lecture_16,U15,15,Discussion of overfitting and model generalization,text
lecture_16,U16,16,Graphical illustration of gradient descent,diagram
lecture_16,U17,17,Dataset statistics table showing samples and features,table
lecture_16,U18,18,Discussion of overfitting and model generalization,text
lecture_16,U19,19,y = wx + b,equation
lecture_16,U20,20,Flowchart of machine learning pipeline,diagram
lecture_17,U1,1,Comparison table of algorithm performance metrics,table
lecture_17,U2,2,Visualization of decision boundary,diagram
lecture_17,U3,3,σ(x) = 1 / (1 + e^-x),equation
lecture_17,U4,4,Graphical illustration of gradient descent,diagram
lecture_17,U5,5,Flowchart of machine learning pipeline,diagram
lecture_17,U6,6,Training data table with input-output pairs,table
lecture_17,U7,7,Diagram showing regression line fitting data points,diagram
lecture_17,U8,8,Overview of neural networks and activation functions,text
lecture_17,U9,9,σ(x) = 1 / (1 + e^-x),equation
lecture_17,U10,10,Introduction to linear regression and supervised learning,text
lecture_17,U11,11,Visualization of decision boundary,diagram
lecture_17,U12,12,∂L/∂w = (ŷ - y)x,equation
lecture_17,U13,13,Training data table with input-output pairs,table
lecture_17,U14,14,y = wx + b,equation
lecture_17,U15,15,Training data table with input-output pairs,table
lecture_17,U16,16,Discussion of overfitting and model generalization,text
lecture_17,U17,17,Dataset statistics table showing samples and features,table
lecture_17,U18,18,∂L/∂w = (ŷ - y)x,equation
lecture_17,U19,19,L = (1/n) Σ (y - ŷ)^2,equation
lecture_17,U20,20,Explanation of feature scaling and normalization,text
lecture_18,U1,1,Explanation of feature scaling and normalization,text
lecture_18,U2,2,Graphical illustration of gradient descent,diagram
lecture_18,U3,3,Explanation of feature scaling and normalization,text
lecture_18,U4,4,Dataset statistics table showing samples and features,table
lecture_18,U5,5,Diagram showing regression line fitting data points,diagram
lecture_18,U6,6,Neural network architecture diagram,diagram
lecture_18,U7,7,Introduction to linear regression and supervised learning,text
lecture_18,U8,8,Neural network architecture diagram,diagram
lecture_18,U9,9,Evaluation metrics table including precision recall and F1,table
lecture_18,U10,10,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_18,U11,11,Introduction to linear regression and supervised learning,text
lecture_18,U12,12,Evaluation metrics table including precision recall and F1,table
lecture_18,U13,13,Hyperparameter tuning results table,table
lecture_18,U14,14,Visualization of decision boundary,diagram
lecture_18,U15,15,Discussion of overfitting and model generalization,text
lecture_18,U16,16,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_18,U17,17,Evaluation metrics table including precision recall and F1,table
lecture_18,U18,18,Diagram showing regression line fitting data points,diagram
lecture_18,U19,19,Neural network architecture diagram,diagram
lecture_18,U20,20,Flowchart of machine learning pipeline,diagram
lecture_19,U1,1,Explanation of gradient descent optimization,text
lecture_19,U2,2,Explanation of feature scaling and normalization,text
lecture_19,U3,3,Visualization of decision boundary,diagram
lecture_19,U4,4,Evaluation metrics table including precision recall and F1,table
lecture_19,U5,5,σ(x) = 1 / (1 + e^-x),equation
lecture_19,U6,6,∂L/∂w = (ŷ - y)x,equation
lecture_19,U7,7,Explanation of feature scaling and normalization,text
lecture_19,U8,8,L = (1/n) Σ (y - ŷ)^2,equation
lecture_19,U9,9,Neural network architecture diagram,diagram
lecture_19,U10,10,Explanation of gradient descent optimization,text
lecture_19,U11,11,Explanation of gradient descent optimization,text
lecture_19,U12,12,Discussion of overfitting and model generalization,text
lecture_19,U13,13,Neural network architecture diagram,diagram
lecture_19,U14,14,L = (1/n) Σ (y - ŷ)^2,equation
lecture_19,U15,15,Diagram showing regression line fitting data points,diagram
lecture_19,U16,16,y = wx + b,equation
lecture_19,U17,17,Diagram showing regression line fitting data points,diagram
lecture_19,U18,18,Overview of neural networks and activation functions,text
lecture_19,U19,19,Discussion of overfitting and model generalization,text
lecture_19,U20,20,Dataset statistics table showing samples and features,table
lecture_20,U1,1,Explanation of gradient descent optimization,text
lecture_20,U2,2,Explanation of feature scaling and normalization,text
lecture_20,U3,3,σ(x) = 1 / (1 + e^-x),equation
lecture_20,U4,4,Training data table with input-output pairs,table
lecture_20,U5,5,Introduction to linear regression and supervised learning,text
lecture_20,U6,6,Overview of neural networks and activation functions,text
lecture_20,U7,7,Explanation of feature scaling and normalization,text
lecture_20,U8,8,Neural network architecture diagram,diagram
lecture_20,U9,9,Diagram showing regression line fitting data points,diagram
lecture_20,U10,10,Flowchart of machine learning pipeline,diagram
lecture_20,U11,11,Explanation of gradient descent optimization,text
lecture_20,U12,12,Overview of neural networks and activation functions,text
lecture_20,U13,13,Dataset statistics table showing samples and features,table
lecture_20,U14,14,Discussion of overfitting and model generalization,text
lecture_20,U15,15,Training data table with input-output pairs,table
lecture_20,U16,16,Discussion of overfitting and model generalization,text
lecture_20,U17,17,Dataset statistics table showing samples and features,table
lecture_20,U18,18,Explanation of gradient descent optimization,text
lecture_20,U19,19,L = (1/n) Σ (y - ŷ)^2,equation
lecture_20,U20,20,Graphical illustration of gradient descent,diagram
lecture_21,U1,1,Dataset statistics table showing samples and features,table
lecture_21,U2,2,Neural network architecture diagram,diagram
lecture_21,U3,3,Training data table with input-output pairs,table
lecture_21,U4,4,Training data table with input-output pairs,table
lecture_21,U5,5,Overview of neural networks and activation functions,text
lecture_21,U6,6,Neural network architecture diagram,diagram
lecture_21,U7,7,σ(x) = 1 / (1 + e^-x),equation
lecture_21,U8,8,σ(x) = 1 / (1 + e^-x),equation
lecture_21,U9,9,Visualization of decision boundary,diagram
lecture_21,U10,10,Flowchart of machine learning pipeline,diagram
lecture_21,U11,11,Neural network architecture diagram,diagram
lecture_21,U12,12,Graphical illustration of gradient descent,diagram
lecture_21,U13,13,Evaluation metrics table including precision recall and F1,table
lecture_21,U14,14,Explanation of feature scaling and normalization,text
lecture_21,U15,15,Training data table with input-output pairs,table
lecture_21,U16,16,Visualization of decision boundary,diagram
lecture_21,U17,17,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_21,U18,18,σ(x) = 1 / (1 + e^-x),equation
lecture_21,U19,19,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_21,U20,20,Hyperparameter tuning results table,table
lecture_22,U1,1,Introduction to linear regression and supervised learning,text
lecture_22,U2,2,Dataset statistics table showing samples and features,table
lecture_22,U3,3,Explanation of gradient descent optimization,text
lecture_22,U4,4,Hyperparameter tuning results table,table
lecture_22,U5,5,Hyperparameter tuning results table,table
lecture_22,U6,6,Explanation of gradient descent optimization,text
lecture_22,U7,7,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_22,U8,8,Neural network architecture diagram,diagram
lecture_22,U9,9,Evaluation metrics table including precision recall and F1,table
lecture_22,U10,10,Dataset statistics table showing samples and features,table
lecture_22,U11,11,Evaluation metrics table including precision recall and F1,table
lecture_22,U12,12,∂L/∂w = (ŷ - y)x,equation
lecture_22,U13,13,Comparison table of algorithm performance metrics,table
lecture_22,U14,14,L = (1/n) Σ (y - ŷ)^2,equation
lecture_22,U15,15,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_22,U16,16,Diagram showing regression line fitting data points,diagram
lecture_22,U17,17,Comparison table of algorithm performance metrics,table
lecture_22,U18,18,Dataset statistics table showing samples and features,table
lecture_22,U19,19,Graphical illustration of gradient descent,diagram
lecture_22,U20,20,Overview of neural networks and activation functions,text
lecture_23,U1,1,Overview of neural networks and activation functions,text
lecture_23,U2,2,Discussion of overfitting and model generalization,text
lecture_23,U3,3,Discussion of overfitting and model generalization,text
lecture_23,U4,4,Explanation of feature scaling and normalization,text
lecture_23,U5,5,Evaluation metrics table including precision recall and F1,table
lecture_23,U6,6,Flowchart of machine learning pipeline,diagram
lecture_23,U7,7,Explanation of feature scaling and normalization,text
lecture_23,U8,8,Overview of neural networks and activation functions,text
lecture_23,U9,9,Graphical illustration of gradient descent,diagram
lecture_23,U10,10,Introduction to linear regression and supervised learning,text
lecture_23,U11,11,Hyperparameter tuning results table,table
lecture_23,U12,12,Graphical illustration of gradient descent,diagram
lecture_23,U13,13,Discussion of overfitting and model generalization,text
lecture_23,U14,14,Explanation of feature scaling and normalization,text
lecture_23,U15,15,Overview of neural networks and activation functions,text
lecture_23,U16,16,Diagram showing regression line fitting data points,diagram
lecture_23,U17,17,Dataset statistics table showing samples and features,table
lecture_23,U18,18,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_23,U19,19,Comparison table of algorithm performance metrics,table
lecture_23,U20,20,Diagram showing regression line fitting data points,diagram
lecture_24,U1,1,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_24,U2,2,Overview of neural networks and activation functions,text
lecture_24,U3,3,L = (1/n) Σ (y - ŷ)^2,equation
lecture_24,U4,4,L = (1/n) Σ (y - ŷ)^2,equation
lecture_24,U5,5,Diagram showing regression line fitting data points,diagram
lecture_24,U6,6,Introduction to linear regression and supervised learning,text
lecture_24,U7,7,Dataset statistics table showing samples and features,table
lecture_24,U8,8,Visualization of decision boundary,diagram
lecture_24,U9,9,Flowchart of machine learning pipeline,diagram
lecture_24,U10,10,σ(x) = 1 / (1 + e^-x),equation
lecture_24,U11,11,Neural network architecture diagram,diagram
lecture_24,U12,12,L = (1/n) Σ (y - ŷ)^2,equation
lecture_24,U13,13,Hyperparameter tuning results table,table
lecture_24,U14,14,Training data table with input-output pairs,table
lecture_24,U15,15,Dataset statistics table showing samples and features,table
lecture_24,U16,16,Flowchart of machine learning pipeline,diagram
lecture_24,U17,17,Visualization of decision boundary,diagram
lecture_24,U18,18,y = wx + b,equation
